SalesDate,ProductName,Region,SalesQuantity,Price
2023-01-01,ProductA,North,10,100
2023-01-02,ProductB,South,20,200
2023-01-03,ProductC,East,15,150
2023-01-04,ProductA,West,10,100
2023-02-01,ProductB,North,25,250
2023-02-02,ProductC,South,30,300
2023-02-03,ProductA,East,20,200
2023-02-04,ProductB,West,15,150
2023-03-01,ProductC,North,10,100
2023-03-02,ProductA,South,20,200
2023-03-03,ProductB,East,25,250
2023-03-04,ProductC,West,30,300
2023-04-01,ProductA,North,15,150
2023-04-02,ProductB,South,10,100
2023-04-03,ProductC,East,20,200
2023-04-04,ProductA,West,25,250
2023-05-01,ProductB,North,30,300
2023-05-02,ProductC,South,15,150
2023-05-03,ProductA,East,10,100
2023-05-04,ProductB,West,20,200
2023-06-01,ProductC,North,25,250
2023-06-02,ProductA,South,30,300
2023-06-03,ProductB,East,15,150
2023-06-04,ProductC,West,10,100
