order_id,customer_id,product_id,quantity,total_price,payment_mode,order_date,order_status
1,3a253b,p001,2,37.98,Credit Card,2024-08-01 14:23:00,delivered
2,3a253c,p002,1,29.99,PayPal,2024-08-02 09:45:00,delivered
3,3a253d,p003,3,32.97,Debit Card,2024-08-03 11:10:00,not delivered
4,3a253e,p004,1,159.99,Credit Card,2024-08-04 16:35:00,delivered
5,3a253f,p005,2,139.98,PayPal,2024-08-05 12:05:00,delivered
6,3a2540,p006,1,39.99,Debit Card,2024-08-06 15:20:00,not delivered
7,3a2541,p007,1,99.99,Credit Card,2024-08-07 08:30:00,delivered
8,3a2542,p008,1,249.99,PayPal,2024-08-08 10:50:00,delivered
9,3a2543,p009,2,119.98,Debit Card,2024-08-09 13:25:00,delivered
10,3a2544,p010,1,69.99,Credit Card,2024-08-10 17:40:00,not delivered
11,3a2545,p011,1,39.99,PayPal,2024-08-11 14:15:00,delivered
12,3a2546,p012,2,45.98,Debit Card,2024-08-12 11:50:00,delivered
13,3a2547,p013,1,99.99,Credit Card,2024-08-13 09:30:00,delivered
14,3a2548,p014,1,139.99,PayPal,2024-08-14 16:00:00,not delivered
15,3a2549,p015,1,399.99,Debit Card,2024-08-15 12:25:00,delivered
16,3a2550,p016,1,249.99,Credit Card,2024-08-16 08:10:00,delivered
17,3a2551,p017,2,99.98,PayPal,2024-08-17 10:40:00,delivered
18,3a2552,p018,3,29.97,Debit Card,2024-08-18 15:55:00,not delivered
19,3a2553,p019,1,14.99,Credit Card,2024-08-19 13:10:00,delivered
20,3a2554,p020,2,59.98,PayPal,2024-08-20 17:20:00,delivered
21,3a2555,p021,1,22.99,Credit Card,2024-08-21 14:30:00,delivered
22,3a2556,p022,1,179.99,PayPal,2024-08-22 09:55:00,delivered
23,3a2557,p023,2,39.98,Debit Card,2024-08-23 11:20:00,delivered
24,3a2558,p024,1,29.99,Credit Card,2024-08-24 12:45:00,delivered
25,3a2559,p025,1,69.99,PayPal,2024-08-25 14:10:00,delivered
26,3a2560,p026,3,119.97,Debit Card,2024-08-26 09:35:00,delivered
27,3a2561,p027,2,29.98,Credit Card,2024-08-27 10:00:00,delivered
28,3a2562,p028,1,11.99,PayPal,2024-08-28 11:25:00,delivered
29,3a2563,p029,1,59.99,Debit Card,2024-08-29 12:50:00,not delivered
30,3a2564,p030,4,75.96,Credit Card,2024-08-30 14:15:00,delivered
31,3a2565,p031,1,99.99,PayPal,2024-08-31 09:30:00,delivered
32,3a2566,p032,2,29.98,Debit Card,2024-09-01 11:55:00,delivered
33,3a2567,p033,1,69.99,Credit Card,2024-09-02 14:20:00,not delivered
34,3a2568,p034,1,129.99,PayPal,2024-09-03 12:45:00,delivered
35,3a2569,p035,1,349.99,Debit Card,2024-09-04 09:10:00,delivered
36,3a2570,p036,1,99.99,Credit Card,2024-09-05 15:30:00,delivered
37,3a2571,p037,1,129.99,PayPal,2024-09-06 11:50:00,delivered
38,3a2572,p038,4,91.96,Debit Card,2024-09-07 14:05:00,delivered
39,3a2573,p039,1,39.99,Credit Card,2024-09-08 10:20:00,delivered
40,3a2574,p040,2,119.98,PayPal,2024-09-09 12:40:00,delivered
